Tranko Rank,Website,Serialized Ping,Network IP Address,State,GPP String,Section List
3,https://mail.ru/,"{'data': {'applicableSections': [0], 'cmpDisplayStatus': 'visible', 'cmpId': 31, 'cmpStatus': 'loaded', 'gppString': 'DBABM~CAAAeNAAAACNAAAAAAENAsFgAAAAAAAAAAigAAAAAAAA', 'gppVersion': '1.1', 'parsedSections': {'tcfeuv2': [{'CmpId': 0, 'CmpVersion': 0, 'ConsentLanguage': '', 'ConsentScreen': 0, 'Created': {}, 'IsServiceSpecific': False, 'LastUpdated': {}, 'PublisherCC': '', 'PurposeConsent': [], 'PurposeOneTreatment': False, 'PurposesLITransparency': [], 'SpecialFeatureOptIns': [], 'TcfPolicyVersion': 0, 'UseNonStandardStacks': False, 'VendorConsent': [], 'VendorLegitimateInterest': [], 'VendorListVersion': 0, 'Version': 3}]}, 'sectionList': [2], 'signalStatus': 'not ready', 'supportedAPIs': ['2:tcfeuv2', '5:tcfcav1', '7:usnat', '8:usca', '9:usva', '10:usco', '11:usut', '12:usct', '13:usfl', '14:usmt', '15:usor', '16:ustx', '17:usde', '18:usia', '19:usne', '20:usnh', '21:usnj', '22:ustn']}, 'success': True}",146.70.58.134,Texas,DBABM~CAAAeNAAAACNAAAAAAENAsFgAAAAAAAAAAigAAAAAAAA,[2]
56,https://yahoo.com/,"{'data': {'applicableSections': [7], 'cmpDisplayStatus': 'hidden', 'cmpId': 14, 'cmpStatus': 'loaded', 'gppString': 'DBABLA~BVRqAAAAAmA.QA', 'gppVersion': '1.1', 'parsedSections': {'usnat': {'Gpc': False, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 1, 'MspaOptOutOptionMode': 0, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 0, 'SaleOptOut': 0, 'SaleOptOutNotice': 0, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 0, 'SharingOptOut': 0, 'SharingOptOutNotice': 0, 'TargetedAdvertisingOptOut': 0, 'TargetedAdvertisingOptOutNotice': 0, 'Version': 1}}, 'sectionList': [7], 'signalStatus': 'ready', 'supportedAPIs': ['5:tcfcav1', '7:usnatv1', '8:uscav1', '9:usvav1', '10:uscov1', '11:usutv1', '12:usctv1']}, 'success': True}",146.70.58.134,Texas,DBABLA~BVRqAAAAAmA.QA,[7]
170,https://cnn.com/,"{'data': {'applicableSections': [7], 'cmpDisplayStatus': 'disabled', 'cmpId': 28, 'cmpStatus': 'loaded', 'gppString': 'DBABLA~BVQqAAAAAWA.QA', 'gppVersion': '1.1', 'parsedSections': {'usnat': {'Gpc': False, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 1, 'MspaOptOutOptionMode': 1, 'MspaServiceProviderMode': 2, 'PersonalDataConsents': 0, 'SaleOptOut': 2, 'SaleOptOutNotice': 1, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 1, 'SharingOptOut': 2, 'SharingOptOutNotice': 1, 'TargetedAdvertisingOptOut': 2, 'TargetedAdvertisingOptOutNotice': 1, 'Version': 1}}, 'sectionList': [7], 'signalStatus': 'ready', 'supportedAPIs': ['8:usca', '9:usva', '15:usor', '7:usnat', '10:usco', '13:usfl', '12:usct', '14:usmt', '16:ustx', '17:usde', '18:usia', '19:usne', '22:ustn', '21:usnj', '20:usnh', '11:usut', '2:tcfeuv2']}, 'success': True}",146.70.58.134,Texas,DBABLA~BVQqAAAAAWA.QA,[7]
183,https://theguardian.com/,"{""URL execution failed: 'str' object has no attribute 'get'""}",146.70.58.134,Texas,DBABLA~BVQqAAAAAWA.QA,N/A
213,https://taboola.com/,{'URL execution failed: Message: unknown error: net::ERR_NAME_NOT_RESOLVED\n  (Session info: chrome=134.0.6998.167)\nStacktrace:\n0   chromedriver                        0x00000001028d36c8 cxxbridge1$str$ptr + 2791212\n1   chromedriver                        0x00000001028cbc9c cxxbridge1$str$ptr + 2759936\n2   chromedriver                        0x000000010241de30 cxxbridge1$string$len + 92928\n3   chromedriver                        0x00000001024163c4 cxxbridge1$string$len + 61588\n4   chromedriver                        0x00000001024085ac cxxbridge1$string$len + 4732\n5   chromedriver                        0x0000000102409f8c cxxbridge1$string$len + 11356\n6   chromedriver                        0x0000000102408a14 cxxbridge1$string$len + 5860\n7   chromedriver                        0x0000000102408388 cxxbridge1$string$len + 4184\n8   chromedriver                        0x00000001024080d4 cxxbridge1$string$len + 3492\n9   chromedriver                        0x0000000102405dec chromedriver + 187884\n10  chromedriver                        0x0000000102406910 chromedriver + 190736\n11  chromedriver                        0x0000000102420de0 cxxbridge1$string$len + 105136\n12  chromedriver                        0x00000001024a7118 cxxbridge1$string$len + 654824\n13  chromedriver                        0x00000001024a65f8 cxxbridge1$string$len + 651976\n14  chromedriver                        0x00000001024592fc cxxbridge1$string$len + 335820\n15  chromedriver                        0x00000001028986c4 cxxbridge1$str$ptr + 2549544\n16  chromedriver                        0x000000010289b988 cxxbridge1$str$ptr + 2562540\n17  chromedriver                        0x000000010287871c cxxbridge1$str$ptr + 2418560\n18  chromedriver                        0x000000010289c1e8 cxxbridge1$str$ptr + 2564684\n19  chromedriver                        0x0000000102869750 cxxbridge1$str$ptr + 2357172\n20  chromedriver                        0x00000001028bbf58 cxxbridge1$str$ptr + 2695100\n21  chromedriver                        0x00000001028bc0e0 cxxbridge1$str$ptr + 2695492\n22  chromedriver                        0x00000001028cb910 cxxbridge1$str$ptr + 2759028\n23  libsystem_pthread.dylib             0x000000019574c2e4 _pthread_start + 136\n24  libsystem_pthread.dylib             0x00000001957470fc thread_start + 8\n'},146.70.58.134,Texas,DBABLA~BVQqAAAAAWA.QA,N/A
206,https://bbc.com/,"{""URL execution failed: 'str' object has no attribute 'get'""}",146.70.58.134,Texas,DBABLA~BVQqAAAAAWA.QA,N/A
208,https://bbc.co.uk/,"{""URL execution failed: 'str' object has no attribute 'get'""}",146.70.58.134,Texas,DBABLA~BVQqAAAAAWA.QA,N/A
312,https://slideshare.net/,"{'data': {'applicableSections': [6], 'cmpDisplayStatus': 'hidden', 'cmpId': 279, 'cmpStatus': 'loaded', 'gppString': 'DBACOe~CQPcagAQPcagAEXgpAENAkEwAP_gAEPgACiQGpQCgAGgAcABoAEUAJgAUABHALhAXmA1IC84A4AHAAaABFACYAFAARwC8wAA~BQPcagAQPcagAEXgpAENAkCgAf_AAIfAAAalAKAAaABwAGgARQAmABQAEcAuEBeYDUgLzgDgAcABoAEUAJgAUABHALzA~1-N-', 'gppVersion': '1.1', 'parsedSections': {'tcfcav1': [{'CmpId': 279, 'CmpVersion': 2089, 'ConsentLanguage': 'EN', 'ConsentScreen': 0, 'Created': {}, 'LastUpdated': {}, 'PurposesExpressConsent': [True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False], 'PurposesImpliedConsent': [False, True, False, False, False, False, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False], 'SpecialFeatureExpressConsent': [False, False, False, False, False, False, False, False, False, False, False, False], 'TcfPolicyVersion': 2, 'UseNonStandardTexts': True, 'VendorExpressConsent': [13, 28, 52, 69, 76, 80, 142, 737, 755, 850], 'VendorImpliedConsent': [28, 52, 69, 76, 80, 142, 755], 'VendorListVersion': 36, 'Version': 1}], 'uspv1': [{'uspString': '1-N-', 'version': 1}]}, 'sectionList': [2, 5, 6], 'signalStatus': 'ready', 'supportedAPIs': ['2:tcfeuv2', '5:tcfcav1', '6:uspv1']}, 'success': True}",146.70.58.134,Texas,DBACOe~CQPcagAQPcagAEXgpAENAkEwAP_gAEPgACiQGpQCgAGgAcABoAEUAJgAUABHALhAXmA1IC84A4AHAAaABFACYAFAARwC8wAA~BQPcagAQPcagAEXgpAENAkCgAf_AAIfAAAalAKAAaABwAGgARQAmABQAEcAuEBeYDUgLzgDgAcABoAEUAJgAUABHALzA~1-N-,"[2, 5, 6]"
375,https://businessinsider.com/,"{'data': {'applicableSections': [7], 'cmpDisplayStatus': 'hidden', 'cmpId': 6, 'cmpStatus': 'loaded', 'gppString': 'DBABLA~BVQqAAAAAWA.QA', 'gppVersion': '1.1', 'parsedSections': {'usnat': {'Gpc': False, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 1, 'MspaOptOutOptionMode': 1, 'MspaServiceProviderMode': 2, 'PersonalDataConsents': 0, 'SaleOptOut': 2, 'SaleOptOutNotice': 1, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 1, 'SharingOptOut': 2, 'SharingOptOutNotice': 1, 'TargetedAdvertisingOptOut': 2, 'TargetedAdvertisingOptOutNotice': 1, 'Version': 1}}, 'sectionList': [7], 'signalStatus': 'ready', 'supportedAPIs': ['7:usnat']}, 'success': True}",146.70.58.134,Texas,DBABLA~BVQqAAAAAWA.QA,[7]
378,https://independent.co.uk/,"{'data': {'applicableSections': [7], 'cmpDisplayStatus': 'hidden', 'cmpId': 6, 'cmpStatus': 'loaded', 'gppString': 'DBABLA~BVQqAAAAAgA.QA', 'gppVersion': '1.1', 'parsedSections': {'usnat': {'Gpc': False, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 2, 'MspaOptOutOptionMode': 0, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 0, 'SaleOptOut': 2, 'SaleOptOutNotice': 1, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 1, 'SharingOptOut': 2, 'SharingOptOutNotice': 1, 'TargetedAdvertisingOptOut': 2, 'TargetedAdvertisingOptOutNotice': 1, 'Version': 1}}, 'sectionList': [7], 'signalStatus': 'ready', 'supportedAPIs': ['7:usnat']}, 'success': True}",146.70.58.134,Texas,DBABLA~BVQqAAAAAgA.QA,[7]
391,https://cnbc.com/,"{'data': {'applicableSections': [7], 'cmpDisplayStatus': 'disabled', 'cmpId': 28, 'cmpStatus': 'loaded', 'gppString': 'DBABLA~BVQqAAAAAgA.QA', 'gppVersion': '1.1', 'parsedSections': {'usnatv1': {'Gpc': False, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 2, 'MspaOptOutOptionMode': 0, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 0, 'SaleOptOut': 2, 'SaleOptOutNotice': 1, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 1, 'SharingOptOut': 2, 'SharingOptOutNotice': 1, 'TargetedAdvertisingOptOut': 2, 'TargetedAdvertisingOptOutNotice': 1, 'Version': 1}}, 'sectionList': [7], 'signalStatus': 'ready', 'supportedAPIs': ['8:uscav1', '9:usvav1', '7:usnatv1', '10:uscov1', '12:usctv1', '11:usutv1', '2:tcfeuv2']}, 'success': True}",146.70.58.134,Texas,DBABLA~BVQqAAAAAgA.QA,[7]
430,https://aol.com/,"{'data': {'applicableSections': [7], 'cmpDisplayStatus': 'hidden', 'cmpId': 14, 'cmpStatus': 'loaded', 'gppString': 'DBABLA~BVRqAAAAAmA.QA', 'gppVersion': '1.1', 'parsedSections': {'usnat': {'Gpc': False, 'GpcSegmentType': 1, 'KnownChildSensitiveDataConsents': [0, 0], 'MspaCoveredTransaction': 1, 'MspaOptOutOptionMode': 0, 'MspaServiceProviderMode': 0, 'PersonalDataConsents': 0, 'SaleOptOut': 0, 'SaleOptOutNotice': 0, 'SensitiveDataLimitUseNotice': 0, 'SensitiveDataProcessing': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SensitiveDataProcessingOptOutNotice': 0, 'SharingNotice': 0, 'SharingOptOut': 0, 'SharingOptOutNotice': 0, 'TargetedAdvertisingOptOut': 0, 'TargetedAdvertisingOptOutNotice': 0, 'Version': 1}}, 'sectionList': [7], 'signalStatus': 'ready', 'supportedAPIs': ['5:tcfcav1', '7:usnatv1', '8:uscav1', '9:usvav1', '10:uscov1', '11:usutv1', '12:usctv1']}, 'success': True}",146.70.58.134,Texas,DBABLA~BVRqAAAAAmA.QA,[7]
443,https://imgsmail.ru/,"{'data': {'applicableSections': [0], 'cmpDisplayStatus': 'visible', 'cmpId': 31, 'cmpStatus': 'loaded', 'gppString': 'DBABM~CAAAeNAAAACNAAAAAAENAsFgAAAAAAAAAAigAAAAAAAA', 'gppVersion': '1.1', 'parsedSections': {'tcfeuv2': [{'CmpId': 0, 'CmpVersion': 0, 'ConsentLanguage': '', 'ConsentScreen': 0, 'Created': {}, 'IsServiceSpecific': False, 'LastUpdated': {}, 'PublisherCC': '', 'PurposeConsent': [], 'PurposeOneTreatment': False, 'PurposesLITransparency': [], 'SpecialFeatureOptIns': [], 'TcfPolicyVersion': 0, 'UseNonStandardStacks': False, 'VendorConsent': [], 'VendorLegitimateInterest': [], 'VendorListVersion': 0, 'Version': 3}]}, 'sectionList': [2], 'signalStatus': 'not ready', 'supportedAPIs': ['2:tcfeuv2', '5:tcfcav1', '7:usnat', '8:usca', '9:usva', '10:usco', '11:usut', '12:usct', '13:usfl', '14:usmt', '15:usor', '16:ustx', '17:usde', '18:usia', '19:usne', '20:usnh', '21:usnj', '22:ustn']}, 'success': True}",146.70.58.134,Texas,DBABM~CAAAeNAAAACNAAAAAAENAsFgAAAAAAAAAAigAAAAAAAA,[2]
445,https://wired.com/,"{""URL execution failed: 'str' object has no attribute 'get'""}",146.70.58.134,Texas,DBABM~CAAAeNAAAACNAAAAAAENAsFgAAAAAAAAAAigAAAAAAAA,N/A
459,https://http://time.com//,{'URL execution failed: Message: unknown error: net::ERR_NAME_NOT_RESOLVED\n  (Session info: chrome=134.0.6998.167)\nStacktrace:\n0   chromedriver                        0x00000001028d36c8 cxxbridge1$str$ptr + 2791212\n1   chromedriver                        0x00000001028cbc9c cxxbridge1$str$ptr + 2759936\n2   chromedriver                        0x000000010241de30 cxxbridge1$string$len + 92928\n3   chromedriver                        0x00000001024163c4 cxxbridge1$string$len + 61588\n4   chromedriver                        0x00000001024085ac cxxbridge1$string$len + 4732\n5   chromedriver                        0x0000000102409f8c cxxbridge1$string$len + 11356\n6   chromedriver                        0x0000000102408a14 cxxbridge1$string$len + 5860\n7   chromedriver                        0x0000000102408388 cxxbridge1$string$len + 4184\n8   chromedriver                        0x00000001024080d4 cxxbridge1$string$len + 3492\n9   chromedriver                        0x0000000102405dec chromedriver + 187884\n10  chromedriver                        0x0000000102406910 chromedriver + 190736\n11  chromedriver                        0x0000000102420de0 cxxbridge1$string$len + 105136\n12  chromedriver                        0x00000001024a7118 cxxbridge1$string$len + 654824\n13  chromedriver                        0x00000001024a65f8 cxxbridge1$string$len + 651976\n14  chromedriver                        0x00000001024592fc cxxbridge1$string$len + 335820\n15  chromedriver                        0x00000001028986c4 cxxbridge1$str$ptr + 2549544\n16  chromedriver                        0x000000010289b988 cxxbridge1$str$ptr + 2562540\n17  chromedriver                        0x000000010287871c cxxbridge1$str$ptr + 2418560\n18  chromedriver                        0x000000010289c1e8 cxxbridge1$str$ptr + 2564684\n19  chromedriver                        0x0000000102869750 cxxbridge1$str$ptr + 2357172\n20  chromedriver                        0x00000001028bbf58 cxxbridge1$str$ptr + 2695100\n21  chromedriver                        0x00000001028bc0e0 cxxbridge1$str$ptr + 2695492\n22  chromedriver                        0x00000001028cb910 cxxbridge1$str$ptr + 2759028\n23  libsystem_pthread.dylib             0x000000019574c2e4 _pthread_start + 136\n24  libsystem_pthread.dylib             0x00000001957470fc thread_start + 8\n'},146.70.58.134,Texas,DBABM~CAAAeNAAAACNAAAAAAENAsFgAAAAAAAAAAigAAAAAAAA,N/A
477,https://scribd.com/,"{'data': {'applicableSections': [6], 'cmpDisplayStatus': 'hidden', 'cmpId': 279, 'cmpStatus': 'loaded', 'gppString': 'DBACOe~CQPcagAQPcagAEXphAENBgEgAAAAAEPgACiQAAALzgDgAcABoAEUAJgAUABHALzAAAAA~BQPcagAQPcagAEXphAENBgCAAAAAAIfAAAAAAvOAOABwAGgARQAmABQAEcAvMA~1-N-', 'gppVersion': '1.1', 'parsedSections': {'tcfcav1': [{'CmpId': 279, 'CmpVersion': 2657, 'ConsentLanguage': 'EN', 'ConsentScreen': 0, 'Created': {}, 'LastUpdated': {}, 'PurposesExpressConsent': [False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False], 'PurposesImpliedConsent': [False, True, False, False, False, False, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False], 'SpecialFeatureExpressConsent': [False, False, False, False, False, False, False, False, False, False, False, False], 'TcfPolicyVersion': 2, 'UseNonStandardTexts': False, 'VendorExpressConsent': [], 'VendorImpliedConsent': [28, 52, 69, 76, 80, 142, 755], 'VendorListVersion': 96, 'Version': 1}], 'uspv1': [{'uspString': '1-N-', 'version': 1}]}, 'sectionList': [2, 5, 6], 'signalStatus': 'ready', 'supportedAPIs': ['2:tcfeuv2', '5:tcfcav1', '6:uspv1']}, 'success': True}",146.70.58.134,Texas,DBACOe~CQPcagAQPcagAEXphAENBgEgAAAAAEPgACiQAAALzgDgAcABoAEUAJgAUABHALzAAAAA~BQPcagAQPcagAEXphAENBgCAAAAAAIfAAAAAAvOAOABwAGgARQAmABQAEcAvMA~1-N-,"[2, 5, 6]"
482,https://ft.com/,"{'data': {'applicableSections': [-1], 'cmpDisplayStatus': 'disabled', 'cmpId': 6, 'cmpStatus': 'loaded', 'gppString': 'DBAA', 'gppVersion': '1.1', 'parsedSections': {}, 'sectionList': [], 'signalStatus': 'ready', 'supportedAPIs': []}, 'success': True}",146.70.58.134,Texas,DBAA,[]
510,https://nypost.com/,"{""URL execution failed: 'str' object has no attribute 'get'""}",146.70.58.134,Texas,DBAA,N/A
